Subject	Predicate	Object
emphysema	department	Thoracic surgery
emphysema	involving_symptoms	Chest tightness
emphysema	involving_symptoms	Exertional dyspnea
emphysema	source	WikiPedia
emphysema	high_risk	Lungs
emphysema	involve_checking	PaO2
emphysema	medical college	Internal medicine
emphysema	source	hudongbaike
emphysema	belongTo	disease
Wheezing	involving_symptoms	Spleen deficiency
Wheezing	involving_symptoms	asthma
Wheezing	involving_symptoms	fondness of liquor
Wheezing	involving_symptoms	Nervous
Wheezing	involving_symptoms	palpitation
Wheezing	belongTo	symptom
Wheezing	involving_symptoms	Respiratory abnormality
Wheezing	involving_symptoms	Spleen qi deficiency
Wheezing	involving_symptoms	Wheezing sound
Wheezing	involved_in_disease	bronchial asthma
Wheezing	involving_symptoms	Shortness of breath
Cyanosis of lips	involving_symptoms	Cyanosis
Cyanosis of lips	involved_in_disease	Septic shock
Cyanosis of lips	involving_symptoms	palpitation
Cyanosis of lips	involving_symptoms	Dyspnea
Cyanosis of lips	involved_in_disease	Acute respiratory distress syndrome
Cyanosis of lips	involved_in_disease	eczema
Cyanosis of lips	belongTo	symptom
Cancerous fever	involve_checking	temperature
Cancerous fever	involved_in_disease	Rectal carcinoid
Cancerous fever	involving_symptoms	Hyperthermia
Cancerous fever	involving_symptoms	blood stasis
Cancerous fever	involved_in_disease	esophageal cancer
Cancerous fever	involved_in_disease	Primary liver cancer
Cancerous fever	involved_in_disease	lung cancer
Cancerous fever	involving_symptoms	Noninfectious fever
Cancerous fever	belongTo	symptom
Cancerous fever	involved_in_disease	pheochromocytoma
Cancerous fever	involving_symptoms	Blood hypoxia
Cancerous fever	involved_in_disease	Intracranial metastasis
Swelling of fingers (toes)	involve_checking	Arterial blood gas analysis
Swelling of fingers (toes)	belongTo	symptom
trauma	involved_in_disease	shock
trauma	involving_symptoms	blood stasis
trauma	belongTo	symptom
trauma	involving_symptoms	Ear pain
Fanconi syndrome	belongTo	disease
Fanconi syndrome	involving_symptoms	Metabolic acidosis
Fanconi syndrome	department	Pediatrics
Fanconi syndrome	involving_symptoms	Diabetes
pheochromocytoma	belongTo	disease
pheochromocytoma	involving_symptoms	Cancerous fever
pheochromocytoma	department	Urology Surgery
pheochromocytoma	involving_symptoms	secondary constipation 
Non concave edema of limbs	belongTo	symptom
Non concave edema of limbs	involve_checking	urinalysis
Non concave edema of limbs	involve_checking	myoglobin
Mouth breathing	involved_in_disease	chronic pharyngitis
Mouth breathing	involved_in_disease	Atrophic rhinitis
Mouth breathing	belongTo	symptom
Mouth breathing	involved_in_disease	Deviation of nasal septum
Mouth breathing	involved_in_disease	Nasopharyngeal carcinoma
Mouth breathing	involving_symptoms	Nasal congestion
Mouth breathing	involved_in_disease	Acute pharyngitis
Chronic anemia	involving_symptoms	Urinary tract infection
Chronic anemia	belongTo	symptom
Acute severe cholangitis	involving_symptoms	Chill in high fever
Acute severe cholangitis	belongTo	disease
Acute severe cholangitis	involving_symptoms	Abdominal pain, fever and jaundice
Acute severe cholangitis	department	Department of Hepatobiliary Surgery
Proteinuria gravidarum	involving_symptoms	Face butterfly erythema
Proteinuria gravidarum	involving_symptoms	Urine protein
Proteinuria gravidarum	involve_checking	urinalysis
Proteinuria gravidarum	involving_symptoms	Heart failure
Proteinuria gravidarum	involved_in_disease	Angioneurotic edema
Proteinuria gravidarum	belongTo	symptom
Proteinuria gravidarum	involving_symptoms	Proteinuria
Proteinuria gravidarum	involved_in_disease	Acute pyelonephritis
fatigue	involving_symptoms	Hyperthyroidism
fatigue	involving_symptoms	Hearing loss
fatigue	involving_symptoms	Unable
fatigue	belongTo	symptom
fatigue	involved_in_disease	Poisoning by sedatives, hypnotics and tranquilizers
lipoma	source	hudongbaike
lipoma	department	Plastic surgery
lipoma	medical college	Surgery
lipoma	involving_symptoms	Noninfectious fever
lipoma	belongTo	disease
lipoma	source	medicalbaike
lipoma	source	WikiPedia
lipoma	involving_symptoms	Left heart failure
Deep vein thrombosis of lower extremity	involving_symptoms	Hypercoagulable state
Deep vein thrombosis of lower extremity	department	Vascular surgery
Deep vein thrombosis of lower extremity	involving_symptoms	Swelling and weakness of lower limbs
Deep vein thrombosis of lower extremity	involving_symptoms	Paresis of lower limbs or whole body
Deep vein thrombosis of lower extremity	department	General surgery
Deep vein thrombosis of lower extremity	involving_symptoms	Paralysis of lower limb muscles
Deep vein thrombosis of lower extremity	belongTo	disease
Deep vein thrombosis of lower extremity	involving_symptoms	Varicose veins of lower extremities
Rectal carcinoid	involving_symptoms	Belching
Rectal carcinoid	involving_symptoms	Leukocyte urine
Rectal carcinoid	source	WikiPedia
Rectal carcinoid	involving_symptoms	Cancerous fever
Rectal carcinoid	source	medicalbaike
Rectal carcinoid	department	General surgery
Rectal carcinoid	source	hudongbaike
Rectal carcinoid	belongTo	disease
Fever with rash	involving_symptoms	Tuberculosis of lymph nodes
Fever with rash	involving_symptoms	Fever with chills
Fever with rash	involving_symptoms	Fever with enlarged lymph nodes and tenderness
Fever with rash	involving_symptoms	Low fever
Fever with rash	involved_in_disease	ECHO virus infection
Fever with rash	belongTo	symptom
Fever with rash	involved_in_disease	measles
Fever with rash	involving_symptoms	Fever with bleeding
Fever with rash	involved_in_disease	eczema
Fever with rash	involving_symptoms	Macula
Fever with rash	involved_in_disease	Scarlet fever
Fever with rash	involving_symptoms	Fever with arthralgia
Fever with rash	involving_symptoms	Fever with hyperemia of eyes
Fever with rash	involving_symptoms	immunodeficiency
Fever with rash	involved_in_disease	Contact dermatitis
Cornus officinalis	herbsUsage	Fried soup
Cornus officinalis	herbsUsage	Pill and powder
Cornus officinalis	channelTropism	Kidney meridian
Cornus officinalis	attending	Severe: internal closure and external detachment
Cornus officinalis	channelTropism	Liver meridian
Cornus officinalis	belongTo	herb
Cornus officinalis	herbsTaboo	Windbreak
Cornus officinalis	chineseHerbsSideeffect	It will lead to certain teratogenicity of fetus and animal embryo
Cornus officinalis	virtue	Tonifying liver and kidney
Cornus officinalis	herbsTaboo	Chinese bellflower
Cornus officinalis	herbsTaboo	Fang Ji
Cornus officinalis	compose	Internal and external prescription remover
Cornus officinalis	belongTo	traditional-chinese-medicine
Cornus officinalis	belongTo	chinese-herbs
Cornus officinalis	virtue	Astringent essence and solid retention
Multiple meningioma	belongTo	disease
Multiple meningioma	department	neurosurgeons
Multiple meningioma	involving_symptoms	Swelling and weakness of lower limbs
Rubella	source	baidubaike
Rubella	medical college	Infectious Disease Department
Rubella	involving_symptoms	Destruction of islet cells
Rubella	involving_symptoms	Rose rash
Rubella	belongTo	disease
Rubella	involve_checking	Lymphocyte count
Alveolar proteinosis	involve_checking	arterial partial pressure of oxygen
Alveolar proteinosis	name	Pulmonary alveolar proteinosis in children
Alveolar proteinosis	source	medicalbaike
Alveolar proteinosis	belongTo	disease
Alveolar proteinosis	source	hudongbaike
Alveolar proteinosis	source	WikiPedia
Alveolar proteinosis	medical college	Pediatrics
Alveolar proteinosis	involve_checking	Arterial blood gas analysis
cough	belongTo	symptom
cough	clinic department	Internal medicine
cough	involving_symptoms	Expectoration
cough	involving_symptoms	Goiter
cough	involving_symptoms	Dry cough
cough	involving_symptoms	Dry cough
cough	involving_symptoms	Purulent sputum
cough	involving_symptoms	Dyspnea
cough	involve_checking	Lymphocyte count
cough	clinic department	Respiratory Medicine
cough	involved_in_disease	pulmonary infection
cough	involving_symptoms	atopic cough 
cough	involving_symptoms	Airway obstruction
cough	involving_symptoms	Consolidation of lung
cough	involving_symptoms	Iaryngopharyngitis
Rhizoma Pinelliae	chineseHerbsSideeffect	Pinellia ternate can be poisoned if taken by mistake
Rhizoma Pinelliae	chineseHerbsSideeffect	Strong irritation to local mucosa
Rhizoma Pinelliae	channelTropism	Spleen meridian
Rhizoma Pinelliae	herbsTaboo	Aconitum herb
Rhizoma Pinelliae	channelTropism	Lung meridian
Rhizoma Pinelliae	channelTropism	Stomach meridian
Rhizoma Pinelliae	attending	Recovery period: deficiency of lung and spleen qi
Rhizoma Pinelliae	virtue	Eliminating dampness and resolving phlegm
Rhizoma Pinelliae	belongTo	herb
Rhizoma Pinelliae	compose	Feiqixu prescription
Rhizoma Pinelliae	belongTo	chinese-herbs
Rhizoma Pinelliae	belongTo	traditional-chinese-medicine
Dehydration fever	involving_symptoms	Central fever
Dehydration fever	involving_symptoms	Dispirited
Dehydration fever	involving_symptoms	Fever in children
Dehydration fever	involving_symptoms	Fidgety
Dehydration fever	involving_symptoms	Low fever
Dehydration fever	involving_symptoms	Infectious fever
Dehydration fever	involving_symptoms	Urinary tract infection
Dehydration fever	involved_in_disease	Hyperglycemia and hypertonic syndrome
Dehydration fever	involving_symptoms	Hyperthermia
Dehydration fever	belongTo	symptom
temperature	involving_symptoms	Less fur
temperature	involving_symptoms	Systemic allergy and fever, rash, arthralgia
temperature	involving_symptoms	Internal heat and feeding heat
temperature	involving_symptoms	Inverse cold of hands and feet
temperature	involving_symptoms	Deep heat and deep feeling
temperature	involving_symptoms	Faint in mind
temperature	involving_symptoms	Bulging and refusing
temperature	involving_symptoms	Hi Wen ointment
temperature	involving_symptoms	Thermoregulation disorder
temperature	involving_symptoms	Fever of unknown origin
temperature	involving_symptoms	Five heart dysphoria
temperature	involving_symptoms	Noninfectious fever
temperature	involving_symptoms	Warm toxin syncope
temperature	involving_symptoms	Fever of feet
temperature	involving_symptoms	Infectious fever
temperature	involving_symptoms	Thick and sticky
temperature	involving_symptoms	Postpartum fever
temperature	involving_symptoms	Central fever
temperature	involving_symptoms	Lack of moist fur
temperature	involving_symptoms	Face red and rise fire
temperature	involving_symptoms	Flood slip number
temperature	involving_symptoms	Pain traction femoral side
temperature	involving_symptoms	Biphasic body temperature
temperature	involving_symptoms	Wet hands and feet
temperature	involving_symptoms	White and moist fur
temperature	belongTo	general-examination
temperature	involving_symptoms	Pulse number
temperature	involving_symptoms	Red face purple
temperature	involving_symptoms	Cold and fever
temperature	involving_symptoms	Postoperative fever
temperature	involving_symptoms	Hot hot zygomatic red
temperature	involving_symptoms	Sore throat
temperature	involving_symptoms	White faced
temperature	involving_symptoms	Forced blood circulation
temperature	involving_symptoms	Crying at night
temperature	involving_symptoms	Thick tongue and thick fur
temperature	involving_symptoms	Persistent fever
temperature	involving_symptoms	Blood heat
temperature	involving_symptoms	Fever and sweating
temperature	involving_symptoms	Cancerous fever
Fever with chills	involving_symptoms	Fever with rash
Fever with chills	involved_in_disease	Leptospirosis
Fever with chills	involving_symptoms	Shiver
Fever with chills	involved_in_disease	Septicemia
Fever with chills	involving_symptoms	Fever with hyperemia of eyes
Fever with chills	belongTo	symptom
Fever with chills	involving_symptoms	Fever with cough, expectoration and chest pain
Fever with chills	involved_in_disease	acute cholecystitis
Fever with chills	involved_in_disease	Acute pyelonephritis
Fever with chills	involving_symptoms	Macula
Fever with chills	involved_in_disease	Septic shock
Fever with chills	involving_symptoms	Drunkenness
Fever with chills	involved_in_disease	Epidemic cerebrospinal meningitis
Fever with chills	involving_symptoms	Tuberculosis of lymph nodes
Fever with chills	involved_in_disease	Acute pelvic inflammation
Fever with chills	involving_symptoms	Fever with enlarged lymph nodes and tenderness
Fever with chills	involving_symptoms	Overwork
Fever with chills	involving_symptoms	Fever with abdominal pain, diarrhea, nausea, vomiting
Nostril pus	involved_in_disease	Acute sinusitis
Nostril pus	involving_symptoms	Chills
Nostril pus	involving_symptoms	Vascular proliferation
Nostril pus	involving_symptoms	fever
Nostril pus	involving_symptoms	Nasal congestion
Nostril pus	involving_symptoms	congestion
Nostril pus	belongTo	symptom
Nostril pus	involved_in_disease	chronic sinusitis
Retinopathy of prematurity	department	Ophthalmology Department
Retinopathy of prematurity	involving_symptoms	Metabolic acidosis
Retinopathy of prematurity	belongTo	disease
Chills	involving_symptoms	Shiver
Chills	involving_symptoms	Fidgety
Chills	involving_symptoms	Recurrent cold
Chills	involved_in_disease	Influenza
Chills	involved_in_disease	Acute pharyngitis
Chills	involving_symptoms	Sneeze
Chills	involving_symptoms	Pale complexion
Chills	involved_in_disease	Acute suppurative thyroiditis
Chills	involving_symptoms	Hyperthermia
Chills	involving_symptoms	Cyanosis of lips
Chills	belongTo	symptom
Chills	involving_symptoms	Periodic chills, fever, sweating and fever
Chills	involved_in_disease	Parainfluenza
Chills	involving_symptoms	Cold and hot all over
Chills	clinic department	Traditional Chinese Medicine Department
Chills	clinical_manifestations	Fear cold
Mycoplasma pneumoniae test	involving_symptoms	Diabetes
Mycoplasma pneumoniae test	belongTo	detection-of-other-patogens
Surgery	belongTo	medicine-specialist
Surgery	belongTo	department
HIV infection	involving_symptoms	fever
HIV infection	involving_symptoms	Lymphadenopathy
HIV infection	involving_symptoms	Emaciation
HIV infection	involved_in_disease	Acquired immunodeficiency syndrome
HIV infection	belongTo	symptom
Pleural effusion	involving_symptoms	Dry cough
Pleural effusion	involving_symptoms	Dyspnea
Pleural effusion	involving_symptoms	Hyperthermia
Pleural effusion	involving_symptoms	Chest pain
Pleural effusion	involving_symptoms	Low fever
Pleural effusion	involving_symptoms	Hypoproteinemia
Pleural effusion	involving_symptoms	Pneumothorax
Pleural effusion	belongTo	symptom
Pleural effusion	involved_in_disease	Tuberculous pleurisy
Pleural effusion	involved_in_disease	Cirrhosis
senile emphysema 	involve_checking	Arterial blood gas analysis
senile emphysema 	belongTo	disease
senile emphysema 	involve_checking	Oxygen partial pressure
Periodic chills, fever, sweating and fever	belongTo	symptom
Periodic chills, fever, sweating and fever	involving_symptoms	Neutropenia
Periodic chills, fever, sweating and fever	involving_symptoms	Hearing loss
Periodic chills, fever, sweating and fever	involving_symptoms	Chills
Periodic chills, fever, sweating and fever	involved_in_disease	Cerebral malaria
Periodic chills, fever, sweating and fever	involving_symptoms	Gentle pulse
Periodic chills, fever, sweating and fever	involving_symptoms	Hyperthermia
Periodic chills, fever, sweating and fever	involving_symptoms	Leukopenia
Periodic chills, fever, sweating and fever	involving_symptoms	Hemoglobinuria
Periodic chills, fever, sweating and fever	involving_symptoms	dysentery
Periodic chills, fever, sweating and fever	involving_symptoms	Black urine
Periodic chills, fever, sweating and fever	involving_symptoms	Rose rash
No psychosis	involving_symptoms	Fear
No psychosis	involving_symptoms	Thermoregulation disorder
No psychosis	involving_symptoms	Dyspnea
No psychosis	belongTo	disease
No psychosis	department	Psychiatry Department
No psychosis	involving_symptoms	Magic taste
Acute laryngotracheobronchitis	involving_symptoms	Fever in children
Acute laryngotracheobronchitis	involving_symptoms	Expectoration
Acute laryngotracheobronchitis	involving_symptoms	Chest pain
Acute laryngotracheobronchitis	department	ENT & HN Surgery Department
Acute laryngotracheobronchitis	source	WikiPedia
Acute laryngotracheobronchitis	involving_symptoms	Bronchospasm
Acute laryngotracheobronchitis	source	hudongbaike
Acute laryngotracheobronchitis	involving_symptoms	Cold and hot all over
Acute laryngotracheobronchitis	involving_symptoms	Infectious fever
Acute laryngotracheobronchitis	involving_symptoms	Bacterial infection
Acute laryngotracheobronchitis	source	medicalbaike
Acute laryngotracheobronchitis	involving_symptoms	Dry cough
Acute laryngotracheobronchitis	belongTo	disease
Acute laryngotracheobronchitis	involving_symptoms	Sore throat
Peach kernel	chineseHerbsSideeffect	Respiratory paralysis
Peach kernel	belongTo	traditional-chinese-medicine
Peach kernel	channelTropism	Heart meridian
Peach kernel	belongTo	herb
Peach kernel	herbsTaboo	Almond
Peach kernel	belongTo	chinese-herbs
Peach kernel	chineseHerbsSideeffect	Nausea
Peach kernel	virtue	Moistening bowel and purgation
Peach kernel	chineseHerbsSideeffect	Dizzy
Peach kernel	channelTropism	Large intestine meridian
Peach kernel	virtue	activate blood circulation and remove blood stasis
Peach kernel	channelTropism	Liver meridian
Peach kernel	attending	Severe: pestilence and lung closure
Peach kernel	virtue	Relieving cough and relieving asthma
Peach kernel	compose	Yidu Shufei recipe
Peach kernel	herbsUsage	Oral administration
Pleural mesothelioma	involving_symptoms	asphyxia
Pleural mesothelioma	belongTo	disease
Pleural mesothelioma	involving_symptoms	Pleural adhesion
Pleural mesothelioma	involving_symptoms	Pleural effusion
Pleural mesothelioma	department	Thoracic surgery
Pregnant women get angry	involving_symptoms	fatigue
Pregnant women get angry	involving_symptoms	Polydipsia
Pregnant women get angry	belongTo	symptom
Pregnant women get angry	involving_symptoms	Deficient fire
Pregnant women get angry	involving_symptoms	Halitosis
Pregnant women get angry	involve_checking	Arterial blood gas analysis
Belching	clinic department	GI Medicine
Belching	involved_in_disease	Rectal carcinoid
Belching	involving_symptoms	nausea
Belching	clinic department	Internal medicine
Belching	involving_symptoms	Thin white tongue fur
Belching	involving_symptoms	Chest tightness
Belching	belongTo	symptom
Belching	involving_symptoms	Stomachache
Belching	involving_symptoms	Weakness of spleen and stomach
Belching	involving_symptoms	blockage of the stomach duct
Fasciola hepatica	department	Infectious Disease Department
Fasciola hepatica	belongTo	disease
Fasciola hepatica	involving_symptoms	Bacterial infection
Runny nose	belongTo	symptom
CO2 retention *	involving_symptoms	Airway obstruction
CO2 retention *	involving_symptoms	Hypercapnia
CO2 retention *	involved_in_disease	Chronic respiratory failure
CO2 retention *	involved_in_disease	acute respiratory failure 
CO2 retention *	involving_symptoms	Dyspnea
CO2 retention *	belongTo	symptom
CO2 retention *	involving_symptoms	fatigue
CO2 retention *	involve_checking	PaO2
CO2 retention *	involved_in_disease	Acute respiratory distress syndrome
CO2 retention *	involving_symptoms	Nasal congestion
CO2 retention *	involved_in_disease	Neonatal respiratory distress syndrome
CO2 retention *	involved_in_disease	acute leukemia
Radix et Rhizoma Rhei	channelTropism	Spleen meridian
Radix et Rhizoma Rhei	belongTo	chinese-herbs
Radix et Rhizoma Rhei	virtue	Removing blood stasis
Radix et Rhizoma Rhei	channelTropism	Stomach meridian
Radix et Rhizoma Rhei	virtue	Clearing away damp heat
Radix et Rhizoma Rhei	compose	Yidu Shufei recipe
Radix et Rhizoma Rhei	channelTropism	Large intestine meridian
Radix et Rhizoma Rhei	belongTo	herb
Radix et Rhizoma Rhei	attending	Severe: pestilence and lung closure
Radix et Rhizoma Rhei	chineseHerbsSideeffect	Diarrhea and abdominal pain
Radix et Rhizoma Rhei	virtue	Detoxification
Radix et Rhizoma Rhei	channelTropism	Liver meridian
Radix et Rhizoma Rhei	virtue	Cooling blood
Radix et Rhizoma Rhei	herbsUsage	Oral administration
Radix et Rhizoma Rhei	belongTo	traditional-chinese-medicine
Radix et Rhizoma Rhei	virtue	Purging fire
Radix et Rhizoma Rhei	virtue	Attack stagnation
Acute suppurative thyroiditis	involving_symptoms	Shiver
Acute suppurative thyroiditis	involving_symptoms	Fever with enlarged lymph nodes and tenderness
Acute suppurative thyroiditis	involving_symptoms	Chills
Acute suppurative thyroiditis	belongTo	disease
Acute suppurative thyroiditis	department	Endocrine Department
Acute suppurative thyroiditis	involving_symptoms	Swallowing pain
Glottic edema	involved_in_disease	Burn
Glottic edema	belongTo	symptom
Glottic edema	involved_in_disease	Angioneurotic edema
Glottic edema	involving_symptoms	Unable
Glottic edema	involve_checking	Arterial blood gas analysis
Glottic edema	involving_symptoms	Mouth breathing
Inspiratory dyspnea	belongTo	symptom
Inspiratory dyspnea	source	medicalbaike
Inspiratory dyspnea	belongTo	disease
Inspiratory dyspnea	source	hudongbaike
Inspiratory dyspnea	source	WikiPedia
Chronic diarrhea	medical college	GI Medicine
Chronic diarrhea	belongTo	disease
Chronic diarrhea	source	WikiPedia
Chronic diarrhea	medical college	Internal medicine
Chronic diarrhea	source	medicalbaike
Chronic diarrhea	source	hudongbaike
Chronic diarrhea	involving_symptoms	Alternating diarrhea and constipation
Chronic diarrhea	source	baidubaike
Damage caused by long-term use of glucocorticoids	involving_symptoms	Diuresis
Damage caused by long-term use of glucocorticoids	involving_symptoms	nausea
Damage caused by long-term use of glucocorticoids	involved_in_disease	Hypercortisonia
Damage caused by long-term use of glucocorticoids	involving_symptoms	depressed
Damage caused by long-term use of glucocorticoids	involving_symptoms	Hypokalemia
Damage caused by long-term use of glucocorticoids	involving_symptoms	Elevated blood sugar
Damage caused by long-term use of glucocorticoids	belongTo	symptom
Damage caused by long-term use of glucocorticoids	involving_symptoms	Unable
Intermittent earache	involving_symptoms	nausea
Intermittent earache	belongTo	symptom
Intermittent earache	involving_symptoms	Hearing loss
Intermittent earache	involving_symptoms	?inflammation
Intermittent earache	involving_symptoms	Ear pain
Intermittent earache	involving_symptoms	Herpes
Intermittent earache	involve_checking	Bacterial culture of ear, nose and throat swabs
Intermittent earache	involving_symptoms	Hearing loss
Fatigue and fatigue	belongTo	symptom
Conductive tinnitus	involving_symptoms	Ear hard
Conductive tinnitus	involving_symptoms	Hearing loss
Conductive tinnitus	involving_symptoms	fatigue
Conductive tinnitus	involving_symptoms	congestion
Conductive tinnitus	involve_checking	Bacterial culture of ear, nose and throat swabs
Conductive tinnitus	belongTo	symptom
Mediastinal cyst	involving_symptoms	Shortness of breath
Mediastinal cyst	belongTo	disease
Mediastinal cyst	source	WikiPedia
Mediastinal cyst	clinic department	oncology department
Mediastinal cyst	department	Thoracic surgery
Mediastinal cyst	source	medicalbaike
Mediastinal cyst	source	hudongbaike
Mediastinal cyst	belongTo	symptom
Pregnancy hypertension	involving_symptoms	coagulation disorders
Pregnancy hypertension	involving_symptoms	Gain weight
Pregnancy hypertension	source	hudongbaike
Pregnancy hypertension	belongTo	symptom
Pregnancy hypertension	source	WikiPedia
Pregnancy hypertension	multiple people	Pregnant woman
Pregnancy hypertension	involving_symptoms	Hemoglobinuria
Pregnancy hypertension	involving_symptoms	Nervous
Pregnancy hypertension	source	medicalbaike
Pregnancy hypertension	involved_in_disease	Angioneurotic edema
Pregnancy hypertension	belongTo	disease
Pregnancy hypertension	clinic department	Internal medicine
Pregnancy hypertension	involve_checking	PaO2
Sensory disturbance	belongTo	symptom
Sensory disturbance	involving_symptoms	Unable
Sensory disturbance	involving_symptoms	fatigue
Sensory disturbance	involve_checking	PaO2
Sensory disturbance	involving_symptoms	Nutritional disorders
Sensory disturbance	belongTo	disease
Sensory disturbance	involving_symptoms	Disc prolapse
