头实体	关系	尾实体
肺泡蛋白沉着症	涉及检查	动脉血气分析
咳嗽	属于	症状
咳嗽	就诊科室	内科
咳嗽	涉及症状	咳痰
咳嗽	涉及症状	甲状腺肿大
咳嗽	涉及症状	干性咳嗽
咳嗽	涉及症状	干咳
咳嗽	涉及症状	脓痰
咳嗽	涉及症状	呼吸困难
咳嗽	涉及检查	淋巴细胞计数
咳嗽	就诊科室	呼吸内科
咳嗽	涉及疾病	肺部感染
咳嗽	涉及症状	变应性咳嗽
咳嗽	涉及症状	呼吸道阻塞
咳嗽	涉及症状	肺实变
咳嗽	涉及症状	咽喉炎
法半夏	副作用	生法半夏误服微量即可中毒
法半夏	副作用	对局部黏膜强烈刺激性
法半夏	归经	脾经
法半夏	忌同食	乌头类药材
法半夏	归经	肺经
法半夏	归经	胃经
法半夏	主治	恢复期：肺脾气虚
法半夏	功效	燥湿化痰
法半夏	属于	药草
法半夏	组成	肺脾气虚方剂
法半夏	属于	中药材
法半夏	属于	中药
脱水热	涉及症状	中枢性发热
脱水热	涉及症状	精神萎靡
脱水热	涉及症状	小儿发热
脱水热	涉及症状	烦躁不安
脱水热	涉及症状	低热
脱水热	涉及症状	感染性发热
脱水热	涉及症状	泌尿系感染
脱水热	涉及疾病	高血糖高渗综合征
脱水热	涉及症状	高热
脱水热	属于	症状
体温	涉及症状	苔少
体温	涉及症状	全身过敏和发热皮疹关节痛
体温	涉及症状	内热哺热
体温	涉及症状	手足逆冷
体温	涉及症状	热深厥深
体温	涉及症状	神志昏蒙
体温	涉及症状	坠胀拒按
体温	涉及症状	喜温膏按
体温	涉及症状	体温调节紊乱
体温	涉及症状	不明原因发热
体温	涉及症状	五心烦热
体温	涉及症状	非感染性发热
体温	涉及症状	温毒厥脱
体温	涉及症状	足心发热
体温	涉及症状	感染性发热
体温	涉及症状	涕唾稠粘
体温	涉及症状	产后发热
体温	涉及症状	中枢性发热
体温	涉及症状	苔黄欠润
体温	涉及症状	面红升火
体温	涉及症状	脉洪滑数
体温	涉及症状	疼痛牵引股侧
体温	涉及症状	双相型体温
体温	涉及症状	手足湿冷
体温	涉及症状	苔白而润
体温	属于	一般检查
体温	涉及症状	脉象洪数
体温	涉及症状	面赤唇紫
体温	涉及症状	凛寒发热
体温	涉及症状	术后发热
体温	涉及症状	潮热颧红
体温	涉及症状	咽痛声哑
体温	涉及症状	面白不华
体温	涉及症状	迫血妄行
体温	涉及症状	夜啼饶哭
体温	涉及症状	舌嫩苔厚
体温	涉及症状	持续性发热
体温	涉及症状	血热
体温	涉及症状	热病汗不出
体温	涉及症状	癌性发热
发热伴寒战	涉及症状	发热伴有皮疹
发热伴寒战	涉及疾病	钩端螺旋体病
发热伴寒战	涉及症状	寒战
发热伴寒战	涉及疾病	败血症
发热伴寒战	涉及症状	发热伴眼睛充血
发热伴寒战	属于	症状
发热伴寒战	涉及症状	发热伴咳嗽、咯痰、胸痛
发热伴寒战	涉及疾病	急性胆囊炎
发热伴寒战	涉及疾病	急性肾盂肾炎
发热伴寒战	涉及症状	斑疹
发热伴寒战	涉及疾病	感染性休克
发热伴寒战	涉及症状	醉酒
发热伴寒战	涉及疾病	流行性脑脊髓膜炎
发热伴寒战	涉及症状	淋巴结结核
发热伴寒战	涉及疾病	急性盆腔炎
发热伴寒战	涉及症状	发热伴淋巴结肿大、并伴触痛
发热伴寒战	涉及症状	过劳
发热伴寒战	涉及症状	发热伴有腹痛、腹泻、恶心、呕吐
鼻孔流脓	涉及疾病	急性鼻窦炎
鼻孔流脓	涉及症状	畏寒
鼻孔流脓	涉及症状	血管增生
鼻孔流脓	涉及症状	发热
鼻孔流脓	涉及症状	鼻塞
鼻孔流脓	涉及症状	充血
鼻孔流脓	属于	症状
鼻孔流脓	涉及疾病	慢性鼻窦炎
早产儿视网膜病变	科室	眼科
早产儿视网膜病变	涉及症状	代谢性酸中毒
早产儿视网膜病变	属于	疾病
恶寒	涉及症状	寒战
恶寒	涉及症状	烦躁不安
恶寒	涉及症状	反复感冒
恶寒	涉及疾病	流行性感冒
恶寒	涉及疾病	急性咽炎
恶寒	涉及症状	打喷嚏
恶寒	涉及症状	面色苍白
恶寒	涉及疾病	急性化脓性甲状腺炎
恶寒	涉及症状	高热
恶寒	涉及症状	口唇发绀
恶寒	属于	症状
恶寒	涉及症状	周期性畏寒发热出汗热退症状
恶寒	涉及疾病	副流行性感冒
恶寒	涉及症状	浑身忽冷忽热
恶寒	就诊科室	中医科
恶寒	临床表现	怕冷
肺炎支原体检测	涉及症状	糖尿
肺炎支原体检测	属于	其他病原体检查
外科	属于	医学专科
外科	属于	科室
HIV感染	涉及症状	发热
HIV感染	涉及症状	淋巴结肿大
HIV感染	涉及症状	消瘦
HIV感染	涉及疾病	获得性免疫缺陷综合征
HIV感染	属于	症状
胸水	涉及症状	干性咳嗽
胸水	涉及症状	呼吸困难
胸水	涉及症状	高热
胸水	涉及症状	胸痛
胸水	涉及症状	低热
胸水	涉及症状	低蛋白血症
胸水	涉及症状	液气胸
胸水	属于	症状
胸水	涉及疾病	结核性胸膜炎
胸水	涉及疾病	肝硬化
老年人肺气肿	涉及检查	动脉血气分析
老年人肺气肿	属于	疾病
老年人肺气肿	涉及检查	氧分压
周期性畏寒发热出汗热退症状	属于	症状
周期性畏寒发热出汗热退症状	涉及症状	中性粒细胞增高
周期性畏寒发热出汗热退症状	涉及症状	听力减退
周期性畏寒发热出汗热退症状	涉及症状	畏寒
周期性畏寒发热出汗热退症状	涉及疾病	脑型疟疾
周期性畏寒发热出汗热退症状	涉及症状	缓脉
周期性畏寒发热出汗热退症状	涉及症状	高热
周期性畏寒发热出汗热退症状	涉及症状	白细胞减少
周期性畏寒发热出汗热退症状	涉及症状	血红蛋白尿
周期性畏寒发热出汗热退症状	涉及症状	痢疾
周期性畏寒发热出汗热退症状	涉及症状	黑尿
周期性畏寒发热出汗热退症状	涉及症状	玫瑰疹
无精神病	涉及症状	恐惧
无精神病	涉及症状	体温调节紊乱
无精神病	涉及症状	呼吸困难
无精神病	属于	疾病
无精神病	科室	精神科
无精神病	涉及症状	幻味
急性喉气管支气管炎	涉及症状	小儿发热
急性喉气管支气管炎	涉及症状	咳痰
急性喉气管支气管炎	涉及症状	胸痛
急性喉气管支气管炎	科室	耳鼻咽喉头颈外科
急性喉气管支气管炎	来源	中文维基百科
急性喉气管支气管炎	涉及症状	小支气管痉挛
急性喉气管支气管炎	来源	互动百科
急性喉气管支气管炎	涉及症状	浑身忽冷忽热
急性喉气管支气管炎	涉及症状	感染性发热
急性喉气管支气管炎	涉及症状	细菌感染
急性喉气管支气管炎	来源	医学百科
急性喉气管支气管炎	涉及症状	干性咳嗽
急性喉气管支气管炎	属于	疾病
急性喉气管支气管炎	涉及症状	咽痛
桃仁	副作用	呼吸麻痹
桃仁	属于	中药
桃仁	归经	心经
桃仁	属于	药草
桃仁	忌同食	杏仁
桃仁	属于	中药材
桃仁	副作用	呕心
桃仁	功效	润肠通便
桃仁	副作用	头晕
桃仁	归经	大肠经
桃仁	功效	活血祛瘀
桃仁	归经	肝经
桃仁	主治	重型：疫毒闭肺
桃仁	功效	止咳平喘
桃仁	组成	疫毒闭肺方剂
桃仁	用法	口服
胸膜间皮瘤	涉及症状	窒息
胸膜间皮瘤	属于	疾病
胸膜间皮瘤	涉及症状	胸膜粘连
胸膜间皮瘤	涉及症状	胸腔积液
胸膜间皮瘤	科室	胸部外科
孕妇上火	涉及症状	疲劳
孕妇上火	涉及症状	多饮
孕妇上火	属于	症状
孕妇上火	涉及症状	虚火
孕妇上火	涉及症状	口臭
孕妇上火	涉及检查	动脉血气分析
嗳气	就诊科室	消化内科
嗳气	涉及疾病	直肠类癌
嗳气	涉及症状	恶心
嗳气	就诊科室	内科
嗳气	涉及症状	舌苔薄白
嗳气	涉及症状	胸闷
嗳气	属于	症状
嗳气	涉及症状	胃痛
嗳气	涉及症状	脾胃虚弱
嗳气	涉及症状	脘痞
肝片形吸虫病	科室	感染科
肝片形吸虫病	属于	疾病
肝片形吸虫病	涉及症状	细菌感染
流涕	属于	症状
CO2潴留	涉及症状	呼吸道阻塞
CO2潴留	涉及症状	高碳酸血症
CO2潴留	涉及疾病	慢性呼吸衰竭
CO2潴留	涉及疾病	急性呼吸衰竭
CO2潴留	涉及症状	呼吸困难
CO2潴留	属于	症状
CO2潴留	涉及症状	疲劳
CO2潴留	涉及检查	PaO2
CO2潴留	涉及疾病	急性呼吸窘迫综合征
CO2潴留	涉及症状	鼻塞
CO2潴留	涉及疾病	新生儿呼吸窘迫综合征
CO2潴留	涉及疾病	急性白血病
生大黄	归经	脾经
生大黄	属于	中药材
生大黄	功效	祛瘀
生大黄	归经	胃经
生大黄	功效	清湿热
生大黄	组成	疫毒闭肺方剂
生大黄	归经	大肠经
生大黄	属于	药草
生大黄	主治	重型：疫毒闭肺
生大黄	副作用	腹泻腹痛
生大黄	功效	解毒
生大黄	归经	肝经
生大黄	功效	凉血
生大黄	用法	口服
生大黄	属于	中药
生大黄	功效	泻火
生大黄	功效	攻积滞
急性化脓性甲状腺炎	涉及症状	寒战
急性化脓性甲状腺炎	涉及症状	发热伴淋巴结肿大、并伴触痛
急性化脓性甲状腺炎	涉及症状	恶寒
急性化脓性甲状腺炎	属于	疾病
急性化脓性甲状腺炎	科室	内分泌科
急性化脓性甲状腺炎	涉及症状	吞咽痛
声门水肿	涉及疾病	烧伤
声门水肿	属于	症状
声门水肿	涉及疾病	血管神经性水肿
声门水肿	涉及症状	无力
声门水肿	涉及检查	动脉血气分析
声门水肿	涉及症状	张口呼吸
吸气性呼吸困难	属于	症状
吸气性呼吸困难	来源	医学百科
吸气性呼吸困难	属于	疾病
吸气性呼吸困难	来源	互动百科
吸气性呼吸困难	来源	中文维基百科
慢性腹泻	医学专科	消化内科
慢性腹泻	属于	疾病
慢性腹泻	来源	中文维基百科
慢性腹泻	医学专科	内科
慢性腹泻	来源	医学百科
慢性腹泻	来源	互动百科
慢性腹泻	涉及症状	腹泻与便秘交替
慢性腹泻	来源	百度百科
长期使用糖皮质激素导致的损害	涉及症状	利尿
长期使用糖皮质激素导致的损害	涉及症状	恶心
长期使用糖皮质激素导致的损害	涉及疾病	皮质醇增多症
长期使用糖皮质激素导致的损害	涉及症状	抑郁
长期使用糖皮质激素导致的损害	涉及症状	低血钾
长期使用糖皮质激素导致的损害	涉及症状	血糖升高
长期使用糖皮质激素导致的损害	属于	症状
长期使用糖皮质激素导致的损害	涉及症状	无力
间歇性耳痛	涉及症状	恶心
间歇性耳痛	属于	症状
间歇性耳痛	涉及症状	听力减退
间歇性耳痛	涉及症状	发炎
间歇性耳痛	涉及症状	耳痛
间歇性耳痛	涉及症状	疱疹
间歇性耳痛	涉及检查	耳、鼻、咽拭子细菌培养
间歇性耳痛	涉及症状	听力下降
疲倦乏力	属于	症状
传导性耳鸣	涉及症状	耳硬化症
传导性耳鸣	涉及症状	听力减退
传导性耳鸣	涉及症状	疲劳
传导性耳鸣	涉及症状	充血
传导性耳鸣	涉及检查	耳、鼻、咽拭子细菌培养
传导性耳鸣	属于	症状
纵隔囊肿	涉及症状	气短
纵隔囊肿	属于	疾病
纵隔囊肿	来源	中文维基百科
纵隔囊肿	就诊科室	肿瘤科
纵隔囊肿	科室	胸部外科
纵隔囊肿	来源	医学百科
纵隔囊肿	来源	互动百科
纵隔囊肿	属于	症状
妊娠期高血压	涉及症状	凝血功能障碍
妊娠期高血压	涉及症状	体重增加
妊娠期高血压	来源	互动百科
妊娠期高血压	属于	症状
妊娠期高血压	来源	中文维基百科
妊娠期高血压	多发人群	孕妇
妊娠期高血压	涉及症状	血红蛋白尿
妊娠期高血压	涉及症状	紧张
妊娠期高血压	来源	医学百科
妊娠期高血压	涉及疾病	血管神经性水肿
妊娠期高血压	属于	疾病
妊娠期高血压	就诊科室	内科
妊娠期高血压	涉及检查	PaO2
感觉障碍	属于	症状
感觉障碍	涉及症状	无力
感觉障碍	涉及症状	疲劳
感觉障碍	涉及检查	PaO2
感觉障碍	涉及症状	营养障碍
感觉障碍	属于	疾病
感觉障碍	涉及症状	椎间盘脱出
感觉障碍	涉及疾病	高血糖高渗综合征
感觉障碍	来源	百度百科
感觉障碍	涉及症状	紧张
多饮	涉及症状	暴饮暴食
多饮	涉及症状	消瘦
多饮	属于	症状
多饮	涉及症状	发热
多饮	涉及疾病	高血糖高渗综合征
多饮	涉及症状	利尿
肠类癌	科室	普通外科
肠类癌	属于	疾病
肠类癌	涉及症状	腹泻与便秘交替
打鼾	涉及症状	低氧血症
打鼾	别称	打呼噜
打鼾	属于	症状
抗菌药中毒性肾病	涉及检查	尿常规
抗菌药中毒性肾病	医学专科	内科
抗菌药中毒性肾病	来源	医学百科
抗菌药中毒性肾病	属于	疾病
抗菌药中毒性肾病	来源	互动百科
抗菌药中毒性肾病	来源	中文维基百科
急性病容	涉及症状	盗汗
急性病容	涉及症状	干咳
急性病容	涉及疾病	细菌感染
急性病容	涉及疾病	尿毒症性肺炎
急性病容	涉及症状	口唇疱疹
急性病容	涉及症状	气短
急性病容	涉及症状	高热
急性病容	涉及症状	充血
急性病容	涉及症状	疲劳
急性病容	涉及症状	稽留热
急性病容	属于	症状
急性病容	涉及症状	恶心
一过性肉眼血尿	涉及检查	肌红蛋白
一过性肉眼血尿	涉及疾病	流行性出血热
一过性肉眼血尿	属于	症状
一过性肉眼血尿	涉及症状	疲劳
一过性肉眼血尿	涉及检查	尿常规
一过性肉眼血尿	涉及症状	血尿伴蛋白尿
一过性肉眼血尿	涉及疾病	慢性心力衰竭
一过性肉眼血尿	涉及症状	溃疡
一过性肉眼血尿	涉及症状	尿急
一过性肉眼血尿	涉及症状	运动后尿血
一过性肉眼血尿	涉及疾病	急性咽炎
一过性肉眼血尿	涉及症状	血尿伴排尿不畅
血管炎	来源	百度百科
血管炎	就诊科室	血管外科
血管炎	属于	症状
血管炎	就诊科室	外科
血管炎	属于	疾病
血管炎	别称	脉管炎
早孕反应	来源	医学百科
早孕反应	来源	互动百科
早孕反应	属于	疾病
早孕反应	涉及检查	血气分析
早孕反应	来源	中文维基百科
早孕反应	医学专科	妇产科
皮质醇增多症	涉及症状	长期使用糖皮质激素导致的损害
皮质醇增多症	来源	医学百科
皮质醇增多症	来源	互动百科
皮质醇增多症	属于	疾病
皮质醇增多症	名称	库欣综合征
皮质醇增多症	医学专科	内科
皮质醇增多症	来源	中文维基百科
皮质醇增多症	科室	内分泌科
皮质醇增多症	涉及症状	疲乏
下肢浅静脉曲张	涉及疾病	下肢深静脉血栓形成
下肢浅静脉曲张	涉及症状	溃疡
下肢浅静脉曲张	涉及症状	胀痛
下肢浅静脉曲张	涉及症状	营养障碍
下肢浅静脉曲张	属于	症状
下肢浅静脉曲张	涉及症状	下肢水肿
肠穿孔	就诊科室	外科
肠穿孔	属于	症状
肠穿孔	涉及症状	剧痛
肠穿孔	就诊科室	肛肠科
肠穿孔	涉及疾病	心肌炎
细菌性阴道病	属于	疾病
细菌性阴道病	涉及症状	细菌感染
细菌性阴道病	科室	妇科
特发性肺纤维化	科室	儿科
特发性肺纤维化	涉及症状	端坐呼吸
特发性肺纤维化	涉及症状	呼吸困难
特发性肺纤维化	属于	疾病
口臭	别称	口腔异味
口臭	涉及症状	干咳
口臭	属于	症状
口臭	涉及症状	胸痛
口臭	涉及症状	食欲不振
口臭	涉及症状	组织坏死
吸入综合征	涉及疾病	尿毒症性肺炎
吸入综合征	涉及症状	发绀
吸入综合征	涉及检查	动脉血气分析
吸入综合征	涉及疾病	胎儿窘迫
吸入综合征	涉及疾病	胎粪吸入综合征
吸入综合征	涉及症状	窒息
吸入综合征	涉及疾病	肺损伤
吸入综合征	涉及症状	低氧血症
吸入综合征	属于	症状
吸入综合征	涉及疾病	自发性气胸
吸入综合征	涉及症状	三凹征
二尖瓣狭窄	涉及症状	充血
二尖瓣狭窄	科室	心脏外科
二尖瓣狭窄	涉及症状	水肿伴呼吸困难、紫绀
二尖瓣狭窄	属于	疾病
胎儿窘迫	涉及检查	血气分析
胎儿窘迫	发病部位	孕妇
胎儿窘迫	属于	症状
胎儿窘迫	属于	疾病
胎儿窘迫	涉及症状	吸入综合征
胎儿窘迫	就诊科室	妇产科
胎儿窘迫	科室	产科
甲状腺机能亢进	涉及症状	胸闷
甲状腺机能亢进	涉及症状	低热
甲状腺机能亢进	涉及症状	心悸
甲状腺机能亢进	涉及症状	暴饮暴食
甲状腺机能亢进	涉及症状	紧张
甲状腺机能亢进	涉及症状	高热
甲状腺机能亢进	属于	症状
甲状腺机能亢进	涉及症状	甲状腺肿大
汞中毒	涉及症状	血红蛋白尿
汞中毒	属于	疾病
汞中毒	涉及症状	咽痛
汞中毒	科室	神经内科
汞中毒	涉及症状	糖尿
汞中毒	涉及症状	视力障碍
汞中毒	涉及症状	口腔痛
腿脚浮肿	涉及疾病	尿毒症性肺炎
腿脚浮肿	涉及疾病	妊娠合并慢性肾小球肾炎
腿脚浮肿	涉及疾病	血管神经性水肿
腿脚浮肿	涉及症状	尿蛋白
腿脚浮肿	涉及症状	低蛋白血症
腿脚浮肿	涉及检查	尿常规
腿脚浮肿	属于	症状
腿脚浮肿	涉及症状	紧张
